Timestamp,Temperature(C),Humidity(%)
2025-10-07 18:37:23,21,58
2025-10-07 18:37:25,21,58
2025-10-07 18:37:27,21,58
2025-10-07 18:37:29,21,59
2025-10-07 18:37:31,21,59
2025-10-07 18:37:33,21,58
2025-10-07 18:37:35,21,58
2025-10-07 18:37:37,21,58
2025-10-07 18:37:39,21,58
2025-10-07 18:37:41,21,59
2025-10-07 18:37:43,21,59
2025-10-07 18:37:45,21,58
2025-10-07 18:37:47,21,58
2025-10-07 18:37:49,21,58
2025-10-07 18:37:51,21,58
2025-10-07 18:37:53,21,59
2025-10-07 18:37:55,21,59
2025-10-07 18:37:57,21,59
2025-10-07 18:37:59,21,59
2025-10-07 18:38:01,21,59
2025-10-07 18:38:03,21,59
2025-10-07 18:38:06,21,59
2025-10-07 18:38:08,21,59
2025-10-07 18:38:10,21,59
2025-10-07 18:38:12,21,59
2025-10-07 18:38:14,21,59
2025-10-07 18:38:16,21,59
2025-10-07 18:38:18,21,59
2025-10-07 18:38:20,21,59
2025-10-07 18:38:22,21,59
2025-10-07 18:38:24,21,59
2025-10-07 18:38:26,21,59
2025-10-07 18:38:28,21,59
2025-10-07 18:38:30,21,59
2025-10-07 18:38:32,21,59
2025-10-07 18:38:34,21,59
2025-10-07 18:38:36,21,59
2025-10-07 18:38:38,21,59
2025-10-07 18:38:40,21,59
2025-10-07 18:38:42,21,59
2025-10-07 18:38:44,21,59
2025-10-07 18:38:46,21,59
2025-10-07 18:38:49,21,59
2025-10-07 18:38:51,21,59
2025-10-07 18:38:53,21,59
2025-10-07 18:38:55,21,59
2025-10-07 18:38:57,21,59
2025-10-07 18:38:59,21,59
2025-10-07 18:39:01,21,59
2025-10-07 18:39:03,21,59
2025-10-07 18:39:05,21,58
2025-10-07 18:39:07,21,58
2025-10-07 18:39:09,21,58
2025-10-07 18:39:11,21,58
2025-10-07 18:39:13,21,58
2025-10-07 18:39:15,21,58
2025-10-07 18:39:17,21,58
2025-10-07 18:39:19,21,59
2025-10-07 18:39:21,21,59
2025-10-07 18:39:23,21,59
2025-10-07 18:39:25,21,59
2025-10-07 18:39:27,21,59
2025-10-07 18:39:29,21,59
2025-10-07 18:39:32,21,59
2025-10-07 18:39:34,21,59
2025-10-07 18:39:36,21,59
2025-10-07 18:39:38,21,59
2025-10-07 18:39:40,21,59
2025-10-07 18:39:42,21,59
2025-10-07 18:39:44,21,59
2025-10-07 18:39:46,21,59
2025-10-07 18:39:48,21,59
2025-10-07 18:39:50,21,59
2025-10-07 18:39:52,21,59
2025-10-07 18:39:54,21,59
2025-10-07 18:39:56,21,59
2025-10-07 18:39:58,21,59
2025-10-07 18:40:00,21,59
2025-10-07 18:40:02,21,59
2025-10-07 18:40:04,21,59
2025-10-07 18:40:06,21,59
2025-10-07 18:40:08,21,59
2025-10-07 18:40:10,21,59
2025-10-07 18:40:12,21,59
2025-10-07 18:40:15,21,59
2025-10-07 18:40:17,21,59
2025-10-07 18:40:19,21,59
2025-10-07 18:40:21,21,59
2025-10-07 18:40:23,21,59
2025-10-07 18:40:25,21,59
2025-10-07 18:40:27,21,59
2025-10-07 18:40:29,21,59
2025-10-07 18:40:31,21,59
2025-10-07 18:40:33,21,59
2025-10-07 18:40:35,21,59
2025-10-07 18:40:37,21,59
2025-10-07 18:40:39,21,59
2025-10-07 18:40:41,21,59
2025-10-07 18:40:43,21,59
2025-10-07 18:40:45,21,59
2025-10-07 18:40:47,21,59
2025-10-07 18:40:49,21,59
2025-10-07 18:40:51,21,59
2025-10-07 18:40:53,21,59
2025-10-07 18:40:55,21,59
2025-10-07 18:40:58,21,59
2025-10-07 18:41:00,21,59
2025-10-07 18:41:02,21,59
2025-10-07 18:41:04,21,59
2025-10-07 18:41:06,21,59
